,RMSE,MAE,R²
Deep Learning,4521.997629090657,2718.808043732604,0.86828579943286
Random Forest,4553.368481349503,2380.886517893906,0.8664519553382263
XGBoost,4770.8125374994825,2541.008071223841,0.8533923462738997
LightGBM,4573.41045342188,2552.3918892954243,0.8652737257529421
Ensemble,4411.599214812598,2298.0851952467488,0.8746385400697048
