feature,importance
risk_score,0.9503519
smoking_bmi,0.01658416
is_obese,0.0105664795
smoking_age,0.0066489317
age,0.0034431089
age_bmi,0.0033619874
bmi,0.0026998688
children,0.0026721046
region_encoded,0.0019617463
sex_encoded,0.0013653066
smoker_encoded,0.00034434348
is_smoker,0.0
has_children,0.0
is_elderly,0.0
age_squared,0.0
bmi_squared,0.0
